"","Description","File to upload","Mots-clés","License","Link to events or trainings","Publication or broadcasting date","Target Audience","URL to file or support"
"Using blockchain in biomedical provenance, the identifiers use case","Using blockchain in biomedical provenance, the identifiers use case
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/using-blo..."
"Transfer of Research Assets between FAIRDOM SEEKs","Transfer of Research Assets between FAIRDOM SEEKs
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/transfer-..."
"Support tools for rapid adoption of compact identifiers in the publishing process","Support tools for rapid adoption of compact identifiers in the publishing process
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/support-t..."
"Putting structured data into individual entry pages in biological database","Putting structured data into individual entry pages in biological database
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/putting-s..."
"ProtVista (protein annotation viewer) extension using Bioschemas data","ProtVista (protein annotation viewer) extension using Bioschemas data
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/protvista..."
"Prototyping the new PSICQUIC 2.0","Prototyping the new PSICQUIC 2.0
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/prototypi..."
"Pathway effect prediction for protein targets","Pathway effect prediction for protein targets
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/pathway-e..."
"OmicsPath: Finding Relevant omics datasets using pathway information","OmicsPath: Finding Relevant omics datasets using pathway information
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/omicspath..."
"JSON schema validation with ontologies","JSON schema validation with ontologies
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/json-sche..."
"Improve Shiny and RStudio integration within Galaxy using Galaxy Interactive Environment","Improve Shiny and RStudio integration within Galaxy using Galaxy Interactive Environment
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/improve-s..."
"Improve Orphanet disease description knowledge by phenotypic automated recognition using scrapping toolkits","Improve Orphanet disease description knowledge by phenotypic automated recognition using scrapping toolkits
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/improve-o..."
"Import workflows into TeSS Concept Maps","Import workflows into TeSS Concept Maps
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/import-wo..."
"Galaxy training material improvement and extension","Galaxy training material improvement and extension
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/galaxy-tr..."
"From Biotea to Bioschemas: definition of profiles required to represent scholarly publications","From Biotea to Bioschemas: definition of profiles required to represent scholarly publications
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/from-biot..."
"Exploring Pharmacogenomic LOD for Molecular Explanations of Gene-Drug Relationships","Exploring Pharmacogenomic LOD for Molecular Explanations of Gene-Drug Relationships
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/exploring..."
"Enrichment and propagation of metagenomic experimental metadata","Enrichment and propagation of metagenomic experimental metadata
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/enrichmen..."
"Development of BioJS components","Development of BioJS components
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/developme..."
"Development of a GA4GH-compliant, language-agnostic workflow execution service","Development of a GA4GH-compliant, language-agnostic workflow execution service
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/developme..."
"Development of a catalog of federated SPARQL queries in the field of Rare Diseases","Development of a catalog of federated SPARQL queries in the field of Rare Diseases
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/developme..."
"Data clearinghouse, validation and curation of BioSamples/ENA/Breeding API endpoints/MAR databases","Data clearinghouse, validation and curation of BioSamples/ENA/Breeding API endpoints/MAR databases
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/data-clea..."
"CWL support in Galaxy","CWL support in Galaxy
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/cwl-suppo..."
"Building a semantic search engine for biology publications using event stream processing","Building a semantic search engine for biology publications using event stream processing
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/c-sparql-..."
"bio.tools & EDAM drop-in hackathon & discussions","bio.tools, EDAM drop-in hackathon and discussions
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/biotools-..."
"Bioconda packaging of the Regulatory Sequence Analysis Tools (RSAT)","Bioconda packaging of the Regulatory Sequence Analysis Tools (RSAT)
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/bioconda-..."
"Assessing the FAIRness of Training Materials","Assessing the FAIRness of Training Materials
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/assessing..."
"Application of RDF-based models and tools for enhancing interoperable","Application of RDF-based models and tools for enhancing interoperable use of biomedical resources
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/applicati..."
"Alternative episodes for the 4 Open Source Software","Alternative episodes for the 4 Open Source Software (4OSS) lesson focused on different Open Source technologies: Github, Docker, Jupyter Notebook and so on
","","biohackaton 2018","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/alternati..."
"Adding bioschemas markup to data repository","Adding bioschemas markup to data repository
","","biohackaton","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/adding-bi..."
"Welcome message","Presentation of the workshop (Chairman: Victoria Dominguez Del Angel)
","","biohackaton","","BioHackathon 2018","21-03-2019","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/introduct..."
"Galaxy Docker Training Tutorial","Galaxy docker integration
Enable Galaxy to use BioContainers (Docker)
Galaxy with Docker swarm
","","Galaxy, Docker","","","19-01-2017","","https://github.com/igbmc/egdw2017/tree/master/day4/admin/10-docker-swarm"
"Docker and Galaxy","Questions
Why Docker? What is it?
How to use Docker?
How to integrate Galaxy in Docker to facilitate its deployment?
Objectives
Docker basics
Galaxy Docker image (usage)
Galaxy Docker (internals)
Galaxy flavours
","","Galaxy, Docker","","","19-01-2017","","http://galaxyproject.github.io/training-material//Admin-Corner/slides/galaxy_doc..."
"Docker for Beginners","What is Docker?
Building an image
BioShadock & Orchestration
","","Docker","","","19-01-2017","","https://vdda.github.io/revealJS_test/docker_intro2.html"
"Users, Groups, and Quotas in Galaxy","How to handle Users, Groups, and Quotas in Galaxy
","","Galaxy","","","19-01-2017","","https://igbmc.github.io/egdw2017/day4/admin/08-quota-users-groups/index.html"
"Defining and importing genomes, Data Managers into Galaxy","Intro to built in datasets
Built in data hierarchy
Some problems
Data Managers
","","Galaxy","","","19-01-2017","","https://igbmc.github.io/egdw2017/day4/admin/07-genomes-datamanagers/index.html"
"Galaxy Administration","How to use the administation panel of Galaxy
","","Galaxy","","","19-01-2017","","https://igbmc.github.io/egdw2017/day4/admin/06-admin/index.html"
"Connecting Galaxy to a compute cluster","Problems
Running jobs on the Galaxy server negatively impacts Galaxy UI performance
Even adding one other host helps
Can restart Galaxy without interrupting jobs
Solution:
Connecter Galaxy to a computing cluster
","","Galaxy, Cluster","","","19-01-2017","","https://igbmc.github.io/egdw2017/day4/admin/05-compute-cluster/index.html"
"(Proxy) Web Server Choices and Configuration","Installation and configuration of NGiNX for Galaxy
","","Galaxy, NGiNX","","","19-01-2017","","https://igbmc.github.io/egdw2017/day4/admin/04-web-server/index.html"
"Galaxy Handlers","Galaxy is a web application that uses handlers to perform actions.
There are two main types of actions that are carried out by handlers:
Respond to user requests; These actions are carried out by web handlers
Manage the execution of tools; These actions are performed by job handlers.
By default, Galaxy is configured to run a single handler that handles both user queries and jobs.
Depending on the number of users accessing your Galaxy instance or the number of jobs you need to manage you may need to start web handlers or additional job handlers.
","","Galaxy","","","19-01-2017","","https://igbmc.github.io/egdw2017/day4/admin/03-handlers/index.html"
"Galactic Database","How to choose a database for Galaxy and configure it
","","Galaxy","","","19-01-2017","","https://igbmc.github.io/egdw2017/day4/admin/02-database/index.html"
"Galaxy Configuration Hierarchy","How to configure your local instance of Galaxy
","","Galaxy","","","19-01-2017","","https://igbmc.github.io/egdw2017/day4/admin/01-configuration-hierarchy/index.htm..."
"Galaxy Installation","How to install a local instance of Galaxy
","","Galaxy","","","19-01-2017","","https://igbmc.github.io/egdw2017/day4/admin/00-installation/index.html"
"Galaxy Interactive Tour","Questions
What is a Galaxy Interactive Tour?
How to create a Galaxy Interactive Tour?
Objectives
Discover what is a Galaxy Interactive Tour
Be able to create a Galaxy Interactive Tour
Be able to add a Galaxy Interactive Tour in a Galaxy instance
","","Galaxy","","","18-01-2017","","http://galaxyproject.github.io/training-material/Dev-Corner/slides/interactive_t..."
"Galaxy Visualisation - Tutorial","Visualizations may be very helpful in understanding data better. There is a whole range of visualizations, from rather simple scatter and barplots up to projections of high dimensional data or even entire genomes. Many of these visualizations often require a lot of tweaking and changes in settings like zooming in and assigning colors, etc. Therefore, visualizations are ideally interactive, and changing settings is often an initial step in exploring data. For this reason it may be inconvenient to make use of static galaxy tools because it lacks these interactive features. For these situations Galaxy offers the option to create visualizations plugins, file format specific javascripts that integrate with the history menu, without making redundant copies of data.
In this tutorial we shall go through how this system works and create a simple visualization plugin. The tool will create a visualization of the number of aligned reads per chromosome of a BAM file, and we will discuss possible optimizations and advantages and disadvantages of the proposed implementation.
","","Youri Hoogstrate","","European Galaxy Developer Workshop: Archives","18-01-2017","","http://galaxyproject.github.io/training-material/Dev-Corner/tutorials/visualizat..."
"Galaxy Visualisation - Slides","Questions


	How can visualization plugins benefit science?



Objectives


	Implement a first Galaxy visualization
	Understand the client side vs. server side principle

","","Galaxy","","European Galaxy Developer Workshop: Archives","18-01-2017","","http://galaxyproject.github.io/training-material/Dev-Corner/slides/visualization..."
"BioBlend API","BioBlend module, a python library to use Galaxy API
","","Galaxy, Python, API","","European Galaxy Developer Workshop: Archives","18-01-2017","","http://galaxyproject.github.io/training-material/Dev-Corner/slides/bioblend_api...."
"ToolShed upload and tool-iuc PR","Questions
What is a Tool Shed?
How to install tools and workflows from a Tool Shed into a Galaxy instance?
What are the Tool Shed repository types?
How to publish with Planemo?
Objectives
Discover what is a Tool Shed
Be able to install tools and workflows from a Tool Shed into a Galaxy instance
Be able to publish tools with Planemo
","","Galaxy","","European Galaxy Developer Workshop: Archives","17-01-2017","","https://igbmc.github.io/egdw2017/day2/toolshed/index.html"
"Tool development and integration into Galaxy","Questions:
What is a tool for Galaxy?
How to build a tool/wrapper with the good practices?
How to deal with the tool environment?
 
Objectives:
Discover what is a wrapper and its structure
Use the Planemo utilities to develop a good wrapper
Deal with the dependencies
Write functional tests
Make a tool ready for publishing in a ToolShed
","","Galaxy","","European Galaxy Developer Workshop: Archives","16-01-2017","","http://galaxyproject.github.io/training-material/Dev-Corner/slides/tool_integrat..."
"Development in Galaxy","Galaxy is an open-source project. Everyone can contribute to its development with core Galaxy development, integration of softwares in Galaxy environment, ... Here, you will find some materials to learn how to contribute to Galaxy project.
","","Galaxy","","European Galaxy Developer Workshop: Archives","","","https://github.com/galaxyproject/training-material/tree/master/Dev-Corner"
"Welcome and Introduction","Introduction message of the EGDW 2017
"," introduction.pdf","","","European Galaxy Developer Workshop, European Galaxy Developer Workshop: Archives","16-01-2017","",""
"Eukaryotic small RNA","Small RNAseq data analysis for miRNA identification
","","RNA-seq","","Archives AVIESAN-IFB 2016 - v5","23-11-2016","","http://www.france-bioinformatique.fr/sites/default/files/sRNA-Seq.pdf"
"Statistics with RStudio","Introduction to statistics with R
","","R","","Archives AVIESAN-IFB 2016 - v5","23-11-2016","","http://jvanheld.github.io/stats_avec_RStudio_EBA/"
"RNA - Seq de novo","Practical session on transciptome de novo assembly
","","RNA-seq","CC BY-NC-SA","Archives AVIESAN-IFB 2016 - v5","23-11-2016","","http://www.france-bioinformatique.fr/sites/default/files/A01b_Galaxy_RNASeq_deno..."
"Transcriptome de novo assembly","Not available
","","Transcriptomics","","Archives AVIESAN-IFB 2016 - v5","23-11-2016","","http://www.france-bioinformatique.fr/sites/default/files/A01_Galaxy_RNASeq_denov..."
"x2Go","Opening an x2go session to the IFBcloud
","","Cloud","","Archives AVIESAN-IFB 2016 - v5","23-11-2016","","http://www.france-bioinformatique.fr/sites/default/files/x2go_to_IFB-VM.pdf"
"RADSeq Data Analysis","Introduction to RADSeq through STACKS on Galaxy
","","NGS","","Archives AVIESAN-IFB 2016 - v5","23-11-2016","","http://www.france-bioinformatique.fr/sites/default/files/V08_Yvan%20Le%20Bras%20..."
"DNA - seq Bioinformatics Analysis","Detection of Copy Number Variations
 
","","DNA-seq","","Archives AVIESAN-IFB 2016 - v5","23-11-2016","","http://www.france-bioinformatique.fr/sites/default/files/V07_ITMO_2016_EG_CNV.pd..."
"Isoform discovery and quanti cation from RNA-Seq data","Not available
","","RNA-seq","","Archives AVIESAN-IFB 2016 - v5","23-11-2016","","http://www.france-bioinformatique.fr/sites/default/files/R04_EBA2016_RNAseq_Isof..."
"Variant annotation","Add meta-information on variant to facilitate interpretation
","","Variant analysis","","Archives AVIESAN-IFB 2016 - v5","23-11-2016","","http://www.france-bioinformatique.fr/sites/default/files/V06_variants_annotation..."
"Differential analysis of RNA-Seq data","Design, describe, explore and model
","","RNA-seq, Genomics","","Archives AVIESAN-IFB 2016 - v5","23-11-2016","","http://www.france-bioinformatique.fr/sites/default/files/R02-R03_slidesRoscoff_s..."
"Differential gene expression analysis : Practical part","RNA-seq: Differential gene expression analysis practical session
","","RNA-seq, Genomics","","Archives AVIESAN-IFB 2016 - v5","22-11-2016","","http://www.france-bioinformatique.fr/sites/default/files/R01b_EBA2016_TP_RNA-seq..."
"RNA-seq: Differential gene expression analysis","Transcriptome analysis provides information about the identity and quantity of all RNA molecules
","","RNA-seq, Genomics","","","22-11-2016","","http://www.france-bioinformatique.fr/sites/default/files/R01_EBA206_RNAseq_ref.p..."
"Variant Filtering","Some use cases :
- Extract a subset of variants (localization, type)
- Combine variants from several analyses
- Compare obtained variants from several data types (RNA
...
","","Genomics","","Archives AVIESAN-IFB 2016 - v5","22-11-2016","","http://www.france-bioinformatique.fr/sites/default/files/V04_FiltrageVariantNLap..."
"Variants: alignment and pre-treatment; GATK","Variant calling practical session
","","Genomics","","Archives AVIESAN-IFB 2016 - v5","22-11-2016","","http://www.france-bioinformatique.fr/sites/default/files/V02_Variant_Calling_GAT..."
"Variants: alignment and pre-treatment; GATK","DNA-seq Bioinformatics Analysis: from raw sequences to processed alignments
","","Genomics, DNA-seq","","Archives AVIESAN-IFB 2016 - v5","22-11-2016","","http://www.france-bioinformatique.fr/sites/default/files/V01_ITMO_2016_EG_from_f..."
"Chip-seq Analysis","Quality, normalisation and peak calling
","","Chip-seq, Genomics","","Archives AVIESAN-IFB 2016 - v5","22-11-2016","","http://www.france-bioinformatique.fr/sites/default/files/C01_ChIP_SEQ_EBA_2016-1..."
"Galaxy III: Visualization","Visualization of Next Generation Sequencing Data using the Integrative Genomics Viewer (IGV)
","","Genomics","","Archives AVIESAN-IFB 2016 - v5","09-01-2017","","https://www.france-bioinformatique.fr/sites/default/files/G06_TP_IGV_2016.pdf"
"Galaxy: Initiation II","Galaxy II: common tools, quality control; alignment; data managment
","","Genomics","CC BY-NC-SA","Archives AVIESAN-IFB 2016 - v5","21-11-2016","","http://www.france-bioinformatique.fr/sites/default/files/G045_16-11-21-galaxy-tp..."
"Third generation sequencing :  the revolution of long reads","Introduction on sequencing: available technologies, library types, applications ...
","","Genomics","","Archives AVIESAN-IFB 2016 - v5","21-11-2016","","https://www.france-bioinformatique.fr/sites/default/files/I02_Thermes_ROSCOFF5.p..."
"New perspectives on nitrite-oxidizing bacteria - linking genomes to physiology","It is a generally accepted characteristic of the biogeochemical nitrogen cycle that nitrification is catalyzed by two distinct clades of microorganisms. First, ammonia-oxidizing bacteria and archaea convert ammonia to nitrite, which subsequently is oxidized to nitrate by nitrite-oxidizing bacteria (NOB). The latter were traditionally perceived as physiologically restricted organisms and were less intensively studied than other nitrogen-cycling microorganisms. This picture is contrasted by new discoveries of an unexpected high diversity of mostly uncultured NOB and a great physiological versatility, which includes complex microbe-microbe interactions and lifestyles outside the nitrogen cycle. Most surprisingly, close relatives to NOB perform complete nitrification (ammonia oxidation to nitrate), a process that had been postulated to occur under conditions selecting for low growth rates but high growth yields.
The existence of Nitrospira species that encode all genes required for ammonia and nitrite oxidation was first detected by metagenomic analyses of an enrichment culture for nitrogen-transforming microorganisms sampled from the anoxic compartment of a recirculating aquaculture system biofilter. Batch incubations and FISH-MAR experiments showed that these Nitrospira indeed formed nitrate from the aerobic oxidation of ammonia, and used the energy derived from complete nitrification for carbon fixation, thus proving that they indeed represented the long-sought-after comammox organisms. Their ammonia monooxygenase (AMO) enzymes were distinct from canonical AMOs, therefore rendering recent horizontal gene transfer from known ammonia-oxidizing microorganisms unlikely. Instead, their AMO displayed highest similarities to the “unusual” particulate methane monooxygenase from Crenothrix polyspora, thus shedding new light onto the function of this sequence group. This recognition of a novel AMO type indicates that a whole group of ammonia-oxidizing microorganisms has been overlooked, and will improve our understanding of the environmental abundance and distribution of this functional group. Data mining of publicly available metagenomes already indicated a widespread occurrence in natural and engineered environments like aquifers and paddy soils, and drinking and wastewater treatment systems.
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","16-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"Revealing and analyzing microbial networks: from topology to functional behaviors","Understanding the interactions between microbial communities and their environment well enough to be able to predict diversity on the basis of physicochemical parameters is a fundamental pursuit of microbial ecology that still eludes us. However, modeling microbial communities is a complicated task, because (i) communities are complex, (ii) most are described qualitatively, and (iii) quantitative understanding of the way communities interacts with their surroundings remains incomplete. Within this seminar, we will illustrate two complementary approaches that aim to overcome these points in different manners.
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","16-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"Holistic metagenomics in marine communities","Complex microscopic communities are composed of species belonging to all life realms, from single-cell prokaryotes to multicellular eukaryotes of small size. Each component of a community needs to be studied for a full understanding of the functions performed by the whole assemblage, however methods to investigate microbiomes are generally restricted to a single kingdom. Using examples from the Tara Oceans project, we will show how size fractionation and use of varied metabarcoding, metagenomics and metatranscriptomics approaches can help studying the marine plankton community as a whole, in a wide geographic space.
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","16-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"Hidden in the permafrost","The last decade witnessed the discovery of four families of giant viruses infecting Acanthamoeba. They have genome encoding from 500 to 2000 genes, a large fraction of which encoding proteins of unknown origin. These unique proteins meant to recognize and manipulate the same building blocks as cells raise the question on their origin as well as the role viruses played in the cellular word evolution. The Mimiviridae and the Pandoraviridae are increasingly populated by members from very diverse habitats and are ubiquitous on the planet. After prospecting the space, we went back in the past and isolated two other giant virus families from a 30,000 years old permafrost sample, Pithovirus and Mollivirus sibericum. A metagenomics study of the sample was performed to inventory its biodiversity and assess to what extend the host and the viruses were dominant. I will describe the two sequencing approaches which have been used and compare the results.
1: Raoult D, Audic S, Robert C, Abergel C, Renesto P, Ogata H, La Scola B, Suzan M, Claverie JM. The 1.2-megabase genome sequence of Mimivirus. Science. 2004 Nov 19;306(5700):1344-50.
2: Philippe N, Legendre M, Doutre G, Couté Y, Poirot O, Lescot M, Arslan D, Seltzer V, Bertaux L, Bruley C, Garin J, Claverie JM, Abergel C. Pandoraviruses: amoeba viruses with genomes up to 2.5 Mb reaching that of parasitic eukaryotes. Science. 2013 Jul 19;341(6143):281-6. 
3: Legendre M, Bartoli J, Shmakova L, Jeudy S, Labadie K, Adrait A, Lescot M, Poirot O, Bertaux L, Bruley C, Couté Y, Rivkina E, Abergel C, Claverie JM. Thirty-thousand-year-old distant relative of giant icosahedral DNA viruses with a pandoravirus morphology. Proc Natl Acad Sci U S A. 2014 Mar 18;111(11):4274-9.
4: Legendre M, Lartigue A, Bertaux L, Jeudy S, Bartoli J, Lescot M, Alempic JM, Ramus C, Bruley C, Labadie K, Shmakova L, Rivkina E, Couté Y, Abergel C, Claverie JM. In-depth study of Mollivirus sibericum, a new 30,000-y-old giant virus infecting Acanthamoeba. Proc Natl Acad Sci U S A. 2015 Sep 22;112(38):E5327-35.
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","16-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"200 billion sequences and counting: analysis, discovery and exploration of datasets with EBI Metagenomics","EBI metagenomics (EMG, https://www.ebi.ac.uk/metagenomics/) is a freely available hub for the analysis and exploration of metagenomic, metatranscriptomic, amplicon and assembly data. The resource provides rich functional and taxonomic analyses of user-submitted sequences, as well as analysis of publicly available metagenomic datasets held within the European Nucleotide Archive (ENA). EMG has recently undergone rapid expansion, with an over 10-fold increase in data volumes in the first 5 months of 2016. It now houses ~ 50k publicly available data sets, and represents one of the largest collections of analysed metagenomic data. As its data content has grown, EMG has increasingly become a platform for data discovery. To support this process, we have made a series of user-interface improvements, including the classification of projects by biome, presentation of results data for better visualisation and more convenient download, and provision of project level summary files. More recently, we have indexed project metadata for use with the EBI search engine, enabling exploration across different datasets. For example, users are able to search with a particular taxonomic lineage or protein function and discover the projects, samples and sequencing runs in which that lineage or function is found. This functionality allows users to explore associations between biomes, environmental conditions and organisms and functions (e.g., discovering protein coding sequences that correspond to certain enzyme families found in aquatic environments at a given temperature range). Here, we give an overview of the EMG data analysis pipeline and web site, and illustrate the use of the new search facility for data discovery.
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","16-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
" MG-RAST — experiences from processing a quarter million metagenomic data sets","MG-RAST has been offering metagenomic analyses since 2007. Over 20,000 researchers have submitted data. I will describe the current MG-RAST implementation and demonstrate some of its capabilities. In the course of the presentation I will highlight several metagenomic pitfalls. MG-RAST: http://metagenomics.anl.gov MG-RAST-APP: http://api.metagenomics.anl.gov/api.html
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","16-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
"Fast filtering, mapping and assembly of 16S ribosomal RNA","The application of next-generation sequencing technologies to RNA or DNA directly extracted from a community of organisms yields a mixture of nucleotide fragments. The task to distinguish amongst these and to further categorize the families of ribosomal RNAs (or any other given marker) is an important step for examining the phylogenetic classification of the constituting species. In this perspective, we have developed  a complete bioinformatics suite, called MATAM, capable of handling large sets of  reads in a fast and accurate way. MATAM covers all steps of the analysis, from the identification of reads of interest in the raw sequencing data to the reconstruction of the  full-length sequences of the marker and alignment to a reference database for taxonomic assignment. Part of MATAM is based on the SortMeRNA software, also developed by the team.
","","metagenomics","CC BY-NC-ND","Summer School 2016 in Metagenomics","16-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
" Reconstructing genomes from metagenomes: The holy grail of microbiology","Shotgun metagenomics provides insights into a larger context of naturally occurring microbial genomes when short reads are assembled into contiguous DNA segments (contigs). Contigs are often orders of magnitude longer than individual sequences, offering improved annotations, and key information about the organization of genes in cognate genomes. Several factors affect the assembly performance, and the feasibility of the assembly-based approaches varies across environments. However, increasing read lengths, novel experimental approaches, advances in computational tools and resources, and improvements in assembly algorithms and pipelines render the assembly-based metagenomic workflow more and more accessible. The utility of metagenomic assembly remarkably increases when contigs are organized into metagenome-assembled genomes (MAGs). Often-novel MAGs frequently provide deeper insights into bacterial lifestyles that would otherwise remain unknown as evidenced by recent discoveries. The increasing rate of the recovery of MAGs presents new opportunities to link environmental distribution patterns of microbial populations and their functional potential, and transforms the field of microbiology by providing a more complete understanding of the microbial life, ecology, and evolution.
","","metagenomics","CC BY-NC-ND","","16-12-2016","","http://www.france-bioinformatique.fr/sites/default/files/videos/scorms/metagenom..."
